label,text,text1
37,brain fluid buildup delay giffords rehab,Rehab for Gabrielle Giffords delayed due to brain fluid buildup
14,trailer talk week movie rite mechanic week opportunity,"Opportunity in trailer talk week, movie rite, and mechanic week."
100,rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,the rnc names a chairman for the tampa convention initiative involving a visit to tampa republican nati tampa fl
110,gbagbo camp futile cut ivory coast economy,Gbagbo camp made a futile cut into ivory coast economy
61,chinese president lost translation powerful leader meet expect tran,Chinese president meets expectations as a powerful leader despite lost translation.
60,england fishing community current management system broken edf,England fishing community's current management system is broken; edf.
79,protest reform start yemen hundred anti government protester gathered sanaa,A hundred anti-government protesters gathered in Sanaa to demand reform.
83,stuxnet lead chernobyl russian,stuxnet is associated with chernobyl in russia
81,iphone share smartphones phone,iphone share smartphones and phones
67,uploaded youtube video nba final lakers celtic game memory highlig,An uploaded YouTube video of the NBA Finals game between the Lakers and Celtics serves as a memory highlig.
99,feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,A video featuring epic sci-fi car advertisement for Kia Optimum during the Super Bowl commercial posted on Trendhunter and Supe
95,naughty facebook started sharing personal detail site day turn fb,"Naughty Facebook began sharing personal details on its site each day, turning into FB."
99,super bowl commercial,Super Bowl ad
72,bruce will fave kardashian lol,bruce will fave kardashian lol
66,attack journalist escalate egypt,An attack on a journalist escalated in Egypt.
30,keith olbermann join current tv report,keith olbermann joins current tv report
75,opinion christina sounded amazing super bowl america making big deal,"Christina's opinion sounded amazing, with the Super Bowl in America making a big deal."
96,sundance day strange celebrity encounter steve carell elijah wood full day sundanc,a strange celebrity encounter during a full day at sundance involving steve carell and elijah wood with reference to sundanc
55,acai berry supplement weight loss associated content heard oprah win,Content related to acai berry supplements for weight loss was associated with what was heard on Oprah Win.
101,finished watching black swan twisted mental strain take embrace role natalie portman incredible,Natalie Portman's incredible portrayal in Black Swan involved embracing a role with twisted mental strain.
21,hot air breaking rahm ballot tcot lt state totally corrupt,"In the LT state, hot air breaks Rahm's ballot in TCOT, which is totally corrupt."
68,charlie sheen abuse,Abuse involving Charlie Sheen
99,music featured motorola xoom super bowl commercial,The motorola xoom super bowl commercial featured music.
14,rite movie review fan movie deal battle good evil,A rite movie review fan's movie deal battle between good and evil.
106,potential replacement steve job,possible substitute for steve job
79,yemen president signal won stay freedomwar egypt jan syria feb,The Yemeni president signaled a stay in the freedom war in Egypt during January and Syria in February.
74,debt settlement lawyer debt settlement easier lawyer day debt settlement beco,"debt settlement attorney can simplify debt settlement processes, offering daily assistance and becoming"
75,aguilera repeat national anthem ap ap christina aguilera flubbed belted,Christina Aguilera repeated the national anthem and belted but flubbed it.
66,skipped romanian crew journalist threatened attacked detained reporting egypt,"A Romanian crew including a journalist was threatened, attacked, and detained while reporting in Egypt; some details were skipped."
55,loss weight acai berry capsule benefit,The benefit of acai berry capsules for weight loss.
45,pew internet online american social networking twitter politics campaign internet,online american social networking via pew internet includes twitter politics campaign and internet
60,tbf flw outdooors introduce national high school fishing program national high school fishing program,tbf flw outdooors introduces the national high school fishing program
25,fucking awesome jesse jesse ventura slam tsa lawsuit,extremely impressive jesse ventura slams tsa lawsuit
88,king speech awarded best ensemble cast screen actor guild award,king speech received best ensemble cast honor at screen actor guild awards
60,charge fee saltwater fishing license,A fee is charged for a saltwater fishing license.
46,bottega veneta teal turquoise knot intrecciato snakeskin clutch,bottega veneta teal and turquoise knotted intrecciato snakeskin clutch
87,baked slow cooker chicken crockpotrecipes,Baked chicken from slow cooker and crockpot recipes
17,fake snow storm white stripe officially call quits,The fake snow storm known as the white stripe officially ends.
99,chrysler air super bowl commercial,a commercial for chrysler air was shown during the super bowl
97,kid set college time fill fafsa,Student must complete FAFSA during college preparation period.
75,funny happened aguilera repeat national anthem yahoo news,A funny incident involving Aguilera repeating the national anthem was reported by Yahoo News.
88,hollywood director honor king speech reuters,"A speech by Honor King, a Hollywood director, is reported by Reuters."
87,kung pao chicken recipe,kung pao chicken cooking instructions
37,giffords rocky road recovery health news,health news covers giffords' rocky road recovery
99,complete list super bowl commercial advertiser youtube,A comprehensive list of Super Bowl commercial advertisers is available on YouTube.
103,senator avoiding tea party caucus,senator steering clear of tea party caucus
99,watch volkswagen superbowl commercial youtube ad blitz channel escarabaajoos,"View the Volkswagen Super Bowl commercial via YouTube's ad blitz campaign channel, Escarabaajoos."
82,washington legislature wade immigration debate oregonlive summary requires employe verify,"The Washington legislature's Wade immigration debate is summarized by OregonLive, requiring employe verification."
62,te boozing news starbucks huge trenta cup hold entire bottle wine,Te boozing news: Starbucks' massive Trenta-sized cup can contain a full bottle of wine.
44,carney obama press secretary,carney serves as obama's press secretary
72,kardashians pier morgan stupid answer question perfect,"The Kardashians provided a stupid answer to Pier Morgan's question, which was perfect."
56,chavez mark year office venezuelan president hugo chavez mark year power promising press,"hugo chavez, the venezuelan president, marked a year in office and a year of power with promising press"
14,rite safe horror film devil time plain dealer,A safe horror film titled 'Devil Time' by Plain Dealer
